model,assumption_area,current_assumption,status,historical_grounding,risk_level,recommended_range,recommended_action
House,Incumbency adjustment,Usually about +/-1.5 points,Active adjustment,"Modern House incumbency estimates often fall around 1-3 points; recent estimates include roughly 2.6 points in 2024 and 2.7 points in 2018, though some controlled estimates are closer to 1 point.",Medium,"1.0 to 2.0 points","Keep current value; do not increase without backtest support."
House,Open seat handling,No incumbent bonus for open seats,Active adjustment,"Historically appropriate; open seats lose personal-vote/incumbency effects.",Low,"0 incumbent adjustment","Keep."
House,National environment,Generic ballot / approval-informed national environment shared with Senate,Active input,"Modern House outcomes are strongly correlated with presidential vote and national environment.",Medium,"Audit weekly","Keep, but log source/date/value each run."
House,District elasticity,Derived by district type, region, and baseline competitiveness,Active derived adjustment,"Conceptually grounded; exact values are model assumptions requiring backtest validation.",Medium,"0.55 to 1.25","Keep; review after backtests."
House,State environment adjustment,Optional manual state-level correction,Active if populated,"Can be appropriate for state-specific conditions, but risks double counting.",Medium,"Usually -1.5 to +1.5 unless strongly justified","Require written rationale for nonzero values."
House,Candidate WAR adjustment,Shrunk and capped prior candidate overperformance adjustment,Active adjustment,"Candidate quality still matters but appears less dominant in high-partisanship era.",Medium,"Shrink heavily; cap around +/-3","Keep active, but require match audit for competitive seats."
House,One-sided candidate WAR multiplier,Half effect when only one candidate matches,Active adjustment,"Conservative safeguard against asymmetric candidate data.",Low,"0.25 to 0.50","Keep."
House,Manual polling,Manual poll entry and weighted polling average,Active input,"Appropriate while automated intake is unstable.",Low,"N/A","Keep."
House,Partisan pollster adjustment,Recommended default 2.0 points,Needs formal implementation,"Empirical pollster ratings account for historical accuracy, bias, transparency, and partisan affiliation; partisan/campaign polls also face selective-release risk.",Medium,"2.0 default; 2.5 campaign/internal; 3.0 cap","Implement in polling ingestion with weight discount."
House,Poll spillover signal,Tiny similarity-weighted residual spillover,Active adjustment,"Conceptually reasonable but novel; should remain tiny until polling density rises.",Medium,"Near-zero now; cap below 1 point late","Keep active but dashboard/audit visible."
House,Dynamic uncertainty,National/regional/demographic/district correlated error,Active simulation engine,"Historically necessary; House errors are correlated across districts.",Low,"Backtest calibrated","Keep and backtest."
House,Median income tier,Unknown for all districts,Placeholder,"Not historically grounded as currently populated; missing data rather than modeling choice.",High,"Populate from district demographic data","High-priority data improvement."
House,Party structure,Some unresolved candidate/party structure fields,Placeholder/manual,"Unresolved party structure can distort top-two/top-four or uncontested races.",High,"Resolve competitive races first","Human review required."
House,Special adjustment,Manual district-specific adjustment,Active if populated,"Useful but high risk of arbitrary intervention.",High,"Normally 0; +/-1 to +/-2 with rationale","Require written rationale and audit field."
Senate,Incumbency adjustment,Generic incumbency plus candidate-specific modifiers,Active adjustment,"Senate incumbency can matter, but modern partisanship reduces generic effects; strong incumbents should be handled case-by-case.",Medium,"2 to 3 generic; larger only candidate-specific","Review each race."
Senate,Prior overperformance,Uses prior candidate/race overperformance where relevant,Active adjustment,"Historically useful for distinctive incumbents/candidates, but risk of double counting with incumbency.",Medium,"Shrink/cap; avoid stacking too much","Review Collins/Brown/Cooper/Peltola-type races."
Senate,Candidate liability adjustment,Manual/specific candidate penalty,Active adjustment,"Appropriate for unusually weak/controversial candidates but subjective.",High,"Usually 0 to +/-3; larger only with strong rationale","Require written rationale."
Senate,Candidate quality adjustment,Objective/manual quality adjustment,Active adjustment,"Candidate quality has historically mattered but less than in earlier eras.",Medium,"Usually +/-1 to +/-3","Review race-by-race."
Senate,Senate WAR audit,Audit-only; not active,Audit-only,"House-derived WAR is not directly transferable to Senate races.",Low,"Audit only","Keep audit-only."
Senate,National environment,Shared national environment,Active input,"Appropriate for congressional-cycle coherence.",Medium,"Audit weekly","Keep."
Senate,Polling blend,Dynamic polling/fundamentals blend,Active input,"Historically appropriate; polls become more important closer to Election Day.",Low,"Backtest calibrated","Keep."
Senate,Partisan pollster adjustment,Recommended 2.0 default,Needs formal implementation,"Partisan/campaign polling faces house-effect and selective-release risks.",Medium,"2.0 default; 2.5 internal; 3.0 cap","Implement consistently with House."
Senate,Special adjustment,Manual state/race-specific adjustment,Active if populated,"Useful but subjective and high leverage.",High,"Normally 0; larger only with rationale","Require written rationale."
