model,race_id,rating,model_margin_dem,dem_win_probability,adjustment_column,adjustment_value_dem,risk_level,criticality_score,recommended_range,review_note,dem_candidate,gop_candidate
Senate,OH,,-2.5125509999999993,,state_environment_adjustment_dem,5.345,High,12,-1.5 to +1.5 usually,Review for double counting.,Sherrod Brown,Jon Husted
Senate,TX,,-2.8976221371834847,,state_environment_adjustment_dem,5.345,High,12,-1.5 to +1.5 usually,Review for double counting.,James Talarico,Ken Paxton
Senate,ME,,3.031794990958212,,state_environment_adjustment_dem,5.345,High,12,-1.5 to +1.5 usually,Review for double counting.,Graham Platner,Susan Collins
Senate,FL,,-4.632078861229004,,state_environment_adjustment_dem,4.988666666666666,High,12,-1.5 to +1.5 usually,Review for double counting.,Angie Nixon / Alex Vindman primary,Ashley Moody
Senate,ME,,3.031794990958212,,candidate_quality_adjustment_dem,-4.0,High,12,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Graham Platner,Susan Collins
Senate,MI,,7.313,,state_environment_adjustment_dem,7.483,High,10,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Republican nominee TBD
Senate,GA,,6.522015057957779,,state_environment_adjustment_dem,6.414,High,10,-1.5 to +1.5 usually,Review for double counting.,Jon Ossoff,Mike Collins / Derek Dooley runoff
Senate,NC,,7.674378,,state_environment_adjustment_dem,6.414,High,10,-1.5 to +1.5 usually,Review for double counting.,Roy Cooper,Michael Whatley
Senate,IA,,-5.873870000000001,,state_environment_adjustment_dem,5.345,High,10,-1.5 to +1.5 usually,Review for double counting.,Josh Turek,Ashley Hinson
Senate,AK,,-6.814120666666667,,state_environment_adjustment_dem,4.632333333333333,High,10,-1.5 to +1.5 usually,Review for double counting.,Mary Peltola,Dan Sullivan
Senate,NH,,11.013,,state_environment_adjustment_dem,7.483,High,9,-1.5 to +1.5 usually,Review for double counting.,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary
Senate,VA,,15.450333333333331,,state_environment_adjustment_dem,6.770333333333332,High,9,-1.5 to +1.5 usually,Review for double counting.,Mark Warner,Republican nominee TBD
Senate,MN,,10.994,,state_environment_adjustment_dem,6.414,High,9,-1.5 to +1.5 usually,Review for double counting.,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary
Senate,NM,,15.944,,state_environment_adjustment_dem,6.414,High,9,-1.5 to +1.5 usually,Review for double counting.,Ben Ray Lujan,Larry Marker
Senate,NJ,,17.567666666666668,,state_environment_adjustment_dem,6.057666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Cory Booker,Justin Murphy
Senate,CO,,18.767666666666663,,state_environment_adjustment_dem,6.057666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,John Hickenlooper,Republican nominee TBD
Senate,OR,,22.076333333333334,,state_environment_adjustment_dem,5.701333333333333,High,9,-1.5 to +1.5 usually,Review for double counting.,Jeff Merkley,David Brock Smith
Senate,IL,,18.67,,state_environment_adjustment_dem,5.345,High,9,-1.5 to +1.5 usually,Review for double counting.,Juliana Stratton,Don Tracy
Senate,DE,,22.624999999999996,,state_environment_adjustment_dem,5.345,High,9,-1.5 to +1.5 usually,Review for double counting.,Chris Coons,Republican nominee TBD
Senate,SC,,-12.761333333333331,,state_environment_adjustment_dem,4.988666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Annie Andrews / Brandon Brown / Kyle Freeman primary,Lindsey Graham / Republican primary
Senate,KS,,-13.34633333333333,,state_environment_adjustment_dem,4.988666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Roger Marshall
Senate,MT,,-14.467666666666664,,state_environment_adjustment_dem,4.632333333333333,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Kurt Alme
Senate,RI,,22.257333333333335,,state_environment_adjustment_dem,4.632333333333333,High,9,-1.5 to +1.5 usually,Review for double counting.,Jack Reed,Republican nominee TBD
Senate,LA,,-18.514000000000003,,state_environment_adjustment_dem,4.276,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Julia Letlow / John Fleming runoff
Senate,MS,,-19.819,,state_environment_adjustment_dem,4.276,High,9,-1.5 to +1.5 usually,Review for double counting.,Scott Colom,Cindy Hyde-Smith
Senate,KY,,-25.529,,state_environment_adjustment_dem,4.276,High,9,-1.5 to +1.5 usually,Review for double counting.,Charles Booker,Andy Barr
Senate,MA,,33.551,,state_environment_adjustment_dem,4.276,High,9,-1.5 to +1.5 usually,Review for double counting.,Ed Markey,Republican nominee TBD
Senate,NE,,-18.920333333333332,,state_environment_adjustment_dem,3.919666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic / Independent nominee TBD,Pete Ricketts
Senate,AL,,-24.91033333333333,,state_environment_adjustment_dem,3.919666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Republican nominee TBD
Senate,TN,,-25.60033333333333,,state_environment_adjustment_dem,3.919666666666666,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Bill Hagerty
Senate,SD,,-26.976666666666667,,state_environment_adjustment_dem,3.563333333333333,High,9,-1.5 to +1.5 usually,Review for double counting.,Julian Beaudion,Mike Rounds
Senate,AR,,-32.23166666666667,,state_environment_adjustment_dem,3.563333333333333,High,9,-1.5 to +1.5 usually,Review for double counting.,Hallie Schoffner,Tom Cotton
Senate,OK,,-31.107999999999997,,state_environment_adjustment_dem,3.207,High,9,-1.5 to +1.5 usually,Review for double counting.,Troy Green / Jim Priest / N'Kiyla Thomas primary,Kevin Hern / William Buckner / Gary Ty England / GOP primary
Senate,ID,,-33.163,,state_environment_adjustment_dem,3.207,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Republican nominee TBD
Senate,WV,,-39.973,,state_environment_adjustment_dem,3.207,High,9,-1.5 to +1.5 usually,Review for double counting.,Democratic nominee TBD,Shelley Moore Capito
Senate,ME,,3.031794990958212,,overperformance_adjustment_dem,-2.0,Medium,8,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Graham Platner,Susan Collins
Senate,AR,,-32.23166666666667,,candidate_quality_adjustment_dem,-3.0,Medium,7,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Hallie Schoffner,Tom Cotton
