specification_id,lookback_days,recency_mode,recency_half_life_days,population_mode,question_selection_mode,duplicate_mode,sample_size_weighting,pollster_quality_weighting,partisan_mode,partisan_weight,complexity_score
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,21,equal,,all,all,poll,False,False,include,0.5,0
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,21,equal,,all,all,poll,False,False,downweight,0.5,1
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,21,equal,,all,all,poll,False,False,exclude,0.5,1
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,21,equal,,all,all,poll,False,True,include,0.5,1
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,21,equal,,all,all,poll,False,True,downweight,0.5,2
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,21,equal,,all,all,poll,False,True,exclude,0.5,2
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,21,equal,,all,all,poll,True,False,include,0.5,1
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,21,equal,,all,all,poll,True,False,downweight,0.5,2
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,21,equal,,all,all,poll,True,False,exclude,0.5,2
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,21,equal,,all,all,poll,True,True,include,0.5,2
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,21,equal,,all,all,poll,True,True,downweight,0.5,3
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,21,equal,,all,all,poll,True,True,exclude,0.5,3
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,21,equal,,all,prefer_lv,poll,False,False,include,0.5,1
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,21,equal,,all,prefer_lv,poll,False,False,downweight,0.5,2
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,21,equal,,all,prefer_lv,poll,False,False,exclude,0.5,2
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,21,equal,,all,prefer_lv,poll,False,True,include,0.5,2
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,21,equal,,all,prefer_lv,poll,False,True,downweight,0.5,3
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,21,equal,,all,prefer_lv,poll,False,True,exclude,0.5,3
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,21,equal,,all,prefer_lv,poll,True,False,include,0.5,2
